INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,SAT_AVG,SAT_AVG_ALL
Occidental College,Los Angeles,CA,90041-3392,34.127124,-118.210908,1370,1370
Hope International University,Fullerton,CA,92831-3199,33.87616,-117.88573,1019,1009
Pacific Union College,Angwin,CA,94508-9707,38.570585,-122.440308,1055,1055
University of the Pacific,Stockton,CA,95211-0197,37.981424,-121.312301,1220,1220
Pepperdine University,Malibu,CA,90263,34.037786,-118.707077,1319,1319
Point Loma Nazarene University,San Diego,CA,92106-2899,32.718391,-117.250265,1211,1211
Pomona College,Claremont,CA,91711-6319,34.099027,-117.714556,1461,1461
University of Redlands,Redlands,CA,92373-0999,34.064218,-117.163218,1182,1182
San Diego State University,San Diego,CA,92182-0001,32.77525,-117.071228,1206,1206
University of San Diego,San Diego,CA,92110-2492,32.770816,-117.192073,1302,1302
San Francisco State University,San Francisco,CA,94132,37.721224,-122.476799,1054,1054
University of San Francisco,San Francisco,CA,94117-1080,37.776618,-122.450477,1203,1203
William Jessup University,Rocklin,CA,95765-3707,38.819728,-121.292312,1129,1129
San Jose State University,San Jose,CA,95192-0001,37.336569,-121.880621,1110,1110
Santa Clara University,Santa Clara,CA,95053,37.348362,-121.93784,1378,1378
Scripps College,Claremont,CA,91711-3905,34.104147,-117.711294,1405,1405
Trinity Law School,Santa Ana,CA,92705,33.766071,-117.852059,NULL,1129
Simpson University,Redding,CA,96003-8606,40.61334,-122.332981,1077,1077
Saint Mary's College of California,Moraga,CA,94575,37.840731,-122.109031,1170,1170
Sonoma State University,Rohnert Park,CA,94928-3609,38.340274,-122.677066,1078,1078
Vanguard University of Southern California,Costa Mesa,CA,92626,33.662686,-117.900911,1037,1037
University of Southern California,Los Angeles,CA,90089,34.021281,-118.284169,1437,1437
Thomas Aquinas College,Santa Paula,CA,93060,34.429009,-119.087141,1297,1297
Westmont College,Santa Barbara,CA,93108-1089,34.450151,-119.662517,1262,1262
Whittier College,Whittier,CA,90601,33.978773,-118.032299,1138,1138
Woodbury University,Burbank,CA,91504-1052,34.208011,-118.341147,1076,1076
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,1005,1005
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,39.745149,-104.837722,1179,1179
University of Colorado Colorado Springs,Colorado Springs,CO,80918,38.892735,-104.800296,1162,1162
University of Colorado Boulder,Boulder,CO,80309-0017,40.008781,-105.270823,1293,1293
Colorado School of Mines,Golden,CO,80401,39.751443,-105.223364,1391,1391
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,40.574805,-105.080732,1212,1212
University of Denver,Denver,CO,80208,39.678005,-104.963259,1294,1294
Fort Lewis College,Durango,CO,81301-3999,37.275939,-107.867422,1123,1123
Colorado Mesa University,Grand Junction,CO,81501-3122,39.080643,-108.553275,1066,1066
Metropolitan State University of Denver,Denver,CO,80217-3362,39.744202,-105.00504,1010,1010
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,1107,1107
Regis University,Denver,CO,80221-1099,39.788175,-105.030756,1150,1150
Colorado State University-Pueblo,Pueblo,CO,81001-4901,38.30859,-104.579033,1043,1043
United States Air Force Academy,USAF Academy,CO,80840-5002,39.010957,-104.891358,1334,1334
Western State Colorado University,Gunnison,CO,81231,38.549936,-106.919132,1120,1120
Albertus Magnus College,New Haven,CT,06511-1189,41.332519,-72.923848,930,930
University of Bridgeport,Bridgeport,CT,06604-5620,41.164741,-73.190166,969,969
Central Connecticut State University,New Britain,CT,6050,41.692502,-72.765991,1071,1071
University of Connecticut,Storrs,CT,6269,41.809098,-72.249948,1313,1249
Rensselaer at Hartford,Hartford,CT,6120,41.773462,-72.673916,NULL,1405
University of Hartford,West Hartford,CT,06117-1599,41.798591,-72.715213,1140,1140
University of New Haven,West Haven,CT,06516-1916,41.291314,-72.961472,1124,1124
Quinnipiac University,Hamden,CT,6518,41.418915,-72.894117,1184,1184
University of Saint Joseph,West Hartford,CT,6117,41.781041,-72.72965,1064,1064
St Vincent's College,Bridgeport,CT,06606-4201,41.201198,-73.201106,960,960
Southern Connecticut State University,New Haven,CT,06515-1355,41.333225,-72.947897,1028,1028
Trinity College,Hartford,CT,06106-3100,41.747451,-72.690882,1370,1370
United States Coast Guard Academy,New London,CT,06320-4195,41.375823,-72.101583,1300,1300
Yale University,New Haven,CT,6520,41.311158,-72.926688,1520,1520
Delaware State University,Dover,DE,19901,39.187173,-75.54053,918,918
University of Delaware,Newark,DE,19716,39.679577,-75.752822,1250,1250
Wesley College,Dover,DE,19901-3875,39.163182,-75.527716,903,903
American University,Washington,DC,20016-8001,38.936005,-77.088875,1294,1294
Gallaudet University,Washington,DC,20002-3695,38.907371,-76.993675,916,916
George Washington University,Washington,DC,20052,38.89923,-77.048363,1386,1386
Georgetown University,Washington,DC,20057-0001,38.908809,-77.073463,1451,1451
Howard University,Washington,DC,20059-0001,38.922392,-77.018966,1201,1201
The Baptist College of Florida,Graceville,FL,32440,30.962708,-85.503931,968,968
Barry University,Miami,FL,33161-6695,25.878908,-80.198925,970,970
Johnson University Florida,Kissimmee,FL,34744,28.302547,-81.363053,978,1073
University of Central Florida,Orlando,FL,32816,28.602159,-81.200889,1249,1249
Eckerd College,Saint Petersburg,FL,33711-4700,27.715798,-82.687043,1207,1207
Edward Waters College,Jacksonville,FL,32209,30.34479,-81.684879,885,885
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,29.189903,-81.048367,1204,1217
Florida Agricultural and Mechanical University,Tallahassee,FL,32307,30.428504,-84.290226,1044,1044
Florida Atlantic University,Boca Raton,FL,33431-0991,26.372421,-80.102978,1149,1149
Flagler College-St Augustine,Saint Augustine,FL,32084,29.892733,-81.314887,1093,1093
Florida College,Temple Terrace,FL,33617,28.034936,-82.383289,1000,1000
AdventHealth University,Orlando,FL,32803,28.576142,-81.367687,1019,1019
Florida Institute of Technology,Melbourne,FL,32901-6975,28.065815,-80.622893,1243,1243
Florida International University,Miami,FL,33199,25.75732,-80.373928,1172,1172
Florida Southern College,Lakeland,FL,33801-5698,28.032443,-81.948203,1218,1218
Florida State University,Tallahassee,FL,32306-1037,30.440756,-84.291921,1304,1304
University of Florida,Gainesville,FL,32611,29.64629,-82.347911,1356,1346
Jacksonville University,Jacksonville,FL,32211-3394,30.353227,-81.60458,1147,1147
Trinity International University-Florida,Miami,FL,33186,25.68307,-80.417646,NULL,1129
University of Miami,Coral Gables,FL,33146,25.72126,-80.278662,1366,1366
University of North Florida,Jacksonville,FL,32224-7699,30.27194,-81.509144,1176,1176
Nova Southeastern University,Fort Lauderdale,FL,33314-7796,26.079337,-80.24248,1201,1201
Palm Beach Atlantic University,West Palm Beach,FL,33401,26.7044,-80.05247,1115,1115
Saint Leo University,Saint Leo,FL,33574-6665,28.336776,-82.257801,1056,1056
University of South Florida-Main Campus,Tampa,FL,33620-9951,28.061458,-82.413232,1246,1234
St. Thomas University,Miami Gardens,FL,33054-6459,25.922071,-80.253273,993,993
Southeastern University,Lakeland,FL,33801-6034,28.029733,-81.918382,1063,1063
The University of Tampa,Tampa,FL,33606-1490,27.948455,-82.46483,1171,1171
Trinity Baptist College,Jacksonville,FL,32221,30.311171,-81.79626,933,933
Trinity College of Florida,Trinity,FL,34655-4401,28.194732,-82.678318,922,922
Warner University,Lake Wales,FL,33859-8797,27.825751,-81.599972,946,946
Webber International University,Babson Park,FL,33827-0096,27.838778,-81.532315,986,996
The University of West Florida,Pensacola,FL,32514-5750,30.549076,-87.218511,1185,1185
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,31.481889,-83.528281,1013,1013
Andrew College,Cuthbert,GA,39840-5550,31.772321,-84.795021,930,930
Armstrong State University,Savannah,GA,31419-1997,31.979073,-81.161803,1054,1054
Point University,West Point,GA,31833,32.87912,-85.184931,968,968
Clark Atlanta University,Atlanta,GA,30314-4391,33.747628,-84.412584,1000,1000
Berry College,Mount Berry,GA,30149,34.290414,-85.189202,1247,1247
Brenau University,Gainesville,GA,30501-3668,34.303117,-83.821513,1004,1004
Brewton-Parker College,Mount Vernon,GA,30445,32.185718,-82.586136,922,922
College of Coastal Georgia,Brunswick,GA,31520-3644,31.182745,-81.485973,937,937
Columbus State University,Columbus,GA,31907-5645,32.50096,-84.94106,1011,1011
Covenant College,Lookout Mountain,GA,30750-4164,34.965161,-85.375066,1269,1269
Emmanuel College,Franklin Springs,GA,30639,34.283641,-83.14822,1022,1022
Emory University,Atlanta,GA,30322,33.790183,-84.325512,1443,1437
Fort Valley State University,Fort Valley,GA,31030-4313,32.537595,-83.89537,564,564
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,33.77242,-84.394832,1389,1389
Georgia Southwestern State University,Americus,GA,31709-4693,32.054662,-84.217738,1045,1045
Georgia College & State University,Milledgeville,GA,31061,33.082787,-83.231962,1199,1199
Georgia Southern University,Statesboro,GA,30460-8126,32.426153,-81.784045,1174,1174
Georgia State University,Atlanta,GA,30303-3083,33.7527,-84.38667,1128,1128
University of Georgia,Athens,GA,30602,33.956262,-83.374039,1316,1316
Gordon State College,Barnesville,GA,30204,33.04571,-84.154508,924,924
LaGrange College,Lagrange,GA,30240-2999,33.038564,-85.043113,1100,1100
Life University,Marietta,GA,30060,33.932781,-84.514729,957,957
Mercer University,Macon,GA,31207,32.831787,-83.648295,1285,1285
Morehouse College,Atlanta,GA,30314,33.745982,-84.414917,1050,1050
Oglethorpe University,Atlanta,GA,30319-2797,33.875441,-84.333687,1212,1212
Paine College,Augusta,GA,30901-3182,33.469545,-81.993225,850,850
Piedmont College,Demorest,GA,30535-0010,34.566042,-83.542126,1059,1059
Reinhardt University,Waleska,GA,30183-2981,34.319756,-84.554264,1038,1038
Savannah College of Art and Design,Savannah,GA,31402-3146,32.072963,-81.093849,1152,1152
Savannah State University,Savannah,GA,31404-5310,32.024781,-81.063377,933,933
Shorter University,Rome,GA,30165,34.257543,-85.196529,1017,1017
Spelman College,Atlanta,GA,30314-4399,33.745279,-84.411527,1163,1163
Toccoa Falls College,Toccoa Falls,GA,30598,34.593414,-83.357617,1039,1039
Truett McConnell University,Cleveland,GA,30528,34.596306,-83.748911,1032,1032
Valdosta State University,Valdosta,GA,31698,30.847402,-83.289282,1059,1059
Wesleyan College,Macon,GA,31210-4462,32.876037,-83.715417,1114,1114
University of West Georgia,Carrollton,GA,30118-0001,33.573621,-85.097762,1016,1016
Young Harris College,Young Harris,GA,30582,34.933523,-83.84587,1100,1100
Chaminade University of Honolulu,Honolulu,HI,96816-1578,21.28995,-157.807851,1068,1068
University of Hawaii at Hilo,Hilo,HI,96720-4091,19.701189,-155.080847,1047,1047
University of Hawaii at Manoa,Honolulu,HI,96822-2217,21.298598,-157.818979,1154,1154
Hawaii Pacific University,Honolulu,HI,96813,21.310306,-157.859645,1110,1110
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,21.35531,-158.056403,966,966
Boise Bible College,Boise,ID,83714-1220,43.658651,-116.291321,1091,1091
Boise State University,Boise,ID,83725,43.604284,-116.203301,1093,1093
University of Idaho,Moscow,ID,83844-2282,46.727406,-117.014167,1127,1127
Lewis-Clark State College,Lewiston,ID,83501-2698,46.412199,-117.024875,1013,1013
Northwest Nazarene University,Nampa,ID,83686-5897,43.562411,-116.565783,1142,1142
Brigham Young University-Idaho,Rexburg,ID,83460-1690,43.818408,-111.782431,1115,1115
School of the Art Institute of Chicago,Chicago,IL,60603,41.88105,-87.625758,1242,1242
Aurora University,Aurora,IL,60506-4892,41.753631,-88.349023,1062,1062
Blackburn College,Carlinville,IL,62626,39.287896,-89.870241,1041,1041
Bradley University,Peoria,IL,61625-0001,40.696896,-89.616786,1212,1212
Chicago State University,Chicago,IL,60628-1598,41.718446,-87.609384,952,952
University of Chicago,Chicago,IL,60637,41.787994,-87.599539,1524,1524
Concordia University-Chicago,River Forest,IL,60305-1499,41.898696,-87.809482,1100,1100
East-West University,Chicago,IL,60605,41.871309,-87.624793,910,910
Eastern Illinois University,Charleston,IL,61920,39.479843,-88.175658,1045,1045
Elmhurst College,Elmhurst,IL,60126-3096,41.897164,-87.945369,1141,1141
Eureka College,Eureka,IL,61530,40.71482,-89.269624,1084,1084
Governors State University,University Park,IL,60484,41.449103,-87.716441,968,968
Greenville University,Greenville,IL,62246,38.894162,-89.40824,1067,1067
Hebrew Theological College,Skokie,IL,60077,42.010103,-87.760874,1064,1064
University of Illinois at Chicago,Chicago,IL,60607,41.871837,-87.650503,1150,1150
Benedictine University,Lisle,IL,60532-0900,41.777569,-88.097307,1093,1093
University of Illinois at Urbana-Champaign,Champaign,IL,61820-5711,40.104718,-88.229114,1376,1376
Illinois Wesleyan University,Bloomington,IL,61702-2900,40.489901,-88.992014,1273,1273
Illinois Institute of Technology,Chicago,IL,60616,41.8313,-87.627321,1323,1323
Illinois State University,Normal,IL,61790-1000,40.509403,-88.990058,1165,1165
Judson University,Elgin,IL,60123-1498,42.061754,-88.291336,1084,1084
Lewis University,Romeoville,IL,60446-2200,41.605432,-88.079032,1161,1161
Lincoln Christian University,Lincoln,IL,62656-2111,40.148924,-89.346721,1036,1036
Lincoln College,Lincoln,IL,62656,40.155442,-89.36153,886,886
Loyola University Chicago,Chicago,IL,60660,42.000765,-87.656872,1258,1258
MacMurray College,Jacksonville,IL,62650-2590,39.730918,-90.223986,1032,1032
McKendree University,Lebanon,IL,62254-1291,38.608154,-89.816822,1100,1100
Methodist College,Peoria,IL,61615,40.7804,-89.682864,1005,1005
Millikin University,Decatur,IL,62522-2084,39.842612,-88.976298,1127,1127
Monmouth College,Monmouth,IL,61462-1998,40.914824,-90.63731,1115,1115
North Central College,Naperville,IL,60540,41.77576,-88.14279,1200,1200
North Park University,Chicago,IL,60625-4895,41.975268,-87.709948,1086,1086
Northern Illinois University,Dekalb,IL,60115-2828,41.933869,-88.766428,1085,1085
Northwestern University,Evanston,IL,60208,42.050356,-87.679858,1500,1500
Northeastern Illinois University,Chicago,IL,60625-4699,41.980399,-87.718983,910,910
Olivet Nazarene University,Bourbonnais,IL,60914-2271,41.155237,-87.875165,1140,1140
Principia College,Elsah,IL,62028-9799,38.948835,-90.350285,1162,1162
Quincy University,Quincy,IL,62301-2699,39.938898,-91.385975,1082,1082
Rockford University,Rockford,IL,61108-2311,42.270639,-89.019536,1059,1059
Roosevelt University,Chicago,IL,60605-1394,41.876055,-87.624952,1119,1119
Dominican University,River Forest,IL,60305,41.902678,-87.823003,1124,1124
University of St Francis,Joliet,IL,60435-6188,41.532225,-88.096057,1126,1126
Saint Xavier University,Chicago,IL,60655,41.707199,-87.714749,1066,1066
University of Illinois at Springfield,Springfield,IL,62703-5407,39.729524,-89.616796,1159,1159
Southern Illinois University-Carbondale,Carbondale,IL,62901-4512,37.714193,-89.217273,1143,1143
Southern Illinois University-Edwardsville,Edwardsville,IL,62026-1259,38.793949,-89.997779,1144,1144
Trinity Christian College,Palos Heights,IL,60463-0929,41.667687,-87.783973,1125,1125
Trinity International University-Illinois,Deerfield,IL,60015-1283,42.197945,-87.880851,1129,1129
VanderCook College of Music,Chicago,IL,60616-3731,41.836833,-87.629138,1215,1215
Western Illinois University,Macomb,IL,61455,40.468086,-90.686899,1045,1045
Wheaton College,Wheaton,IL,60187-5593,41.870176,-88.099643,1356,1356
Anderson University,Anderson,IN,46012-3495,40.112768,-85.664315,1045,1045
Ball State University,Muncie,IN,47306,40.203431,-85.409043,1138,1138
Bethel College-Indiana,Mishawaka,IN,46545-5591,41.678399,-86.194686,1077,1077
Butler University,Indianapolis,IN,46208,39.8374,-86.172167,1279,1279
DePauw University,Greencastle,IN,46135-1772,39.640904,-86.860363,1248,1248
Earlham College,Richmond,IN,47374-4095,39.823431,-84.915037,1303,1303
University of Evansville,Evansville,IN,47722,37.971549,-87.531644,1187,1187
Franklin College,Franklin,IN,46131-2623,39.478298,-86.047182,1105,1105
Goshen College,Goshen,IN,46526-4794,41.563582,-85.827795,1121,1121
Grace College and Theological Seminary,Winona Lake,IN,46590-1274,41.22595,-85.814228,1130,1130
Hanover College,Hanover,IN,47243,38.715642,-85.460051,1184,1184
Holy Cross College,Notre Dame,IN,46556-0308,41.698996,-86.253822,1214,1214
Huntington University,Huntington,IN,46750,40.898152,-85.497317,1080,1080
Purdue University Fort Wayne,Fort Wayne,IN,46805-1499,41.117278,-85.108962,1074,1074
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,39.772948,-86.172217,1104,1104
University of Indianapolis,Indianapolis,IN,46227-3697,39.709571,-86.133969,1093,1093
Indiana Institute of Technology,Fort Wayne,IN,46803-1228,41.078365,-85.116479,1034,1034
University of Southern Indiana,Evansville,IN,47712,37.962374,-87.677214,1084,1084
Indiana State University,Terre Haute,IN,47809,39.469073,-87.407846,1013,1013
Indiana University-Kokomo,Kokomo,IN,46902-9003,40.460062,-86.132048,1030,1030
Indiana University-South Bend,South Bend,IN,46615-7111,41.665324,-86.221991,1035,1035
Indiana University-Bloomington,Bloomington,IN,47405-7000,39.16609,-86.526559,1285,1285
Indiana University-Northwest,Gary,IN,46408-1197,41.557324,-87.337249,998,998
Indiana University-Southeast,New Albany,IN,47150,38.345191,-85.819985,1021,1021
Indiana University-East,Richmond,IN,47374-1289,39.868707,-84.881923,1035,1035
Marian University,Indianapolis,IN,46222-1997,39.813233,-86.202643,1102,1102
Indiana Wesleyan University-Marion,Marion,IN,46953-4974,40.517937,-85.667503,1138,1138
University of Notre Dame,Notre Dame,IN,46556,41.703058,-86.238959,1486,1486
Oakland City University,Oakland City,IN,47660-1099,38.340891,-87.35144,1058,1058
Rose-Hulman Institute of Technology,Terre Haute,IN,47803-3920,39.483602,-87.326749,1369,1369
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994,41.087205,-85.177246,1062,1062
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876-1099,39.508546,-87.463791,999,999
Saint Mary's College,Notre Dame,IN,46556,41.707274,-86.256947,1201,1201
Taylor University,Upland,IN,46989-1001,40.456246,-85.497034,1204,1204
Trine University,Angola,IN,46703-1764,41.632502,-85.008009,1128,1128
Valparaiso University,Valparaiso,IN,46383,41.462239,-87.040172,1216,1216
Wabash College,Crawfordsville,IN,47933-0352,40.037588,-86.906,1199,1199
Buena Vista University,Storm Lake,IA,50588,42.642255,-95.208529,1083,1083
Central College,Pella,IA,50219,41.401539,-92.922199,1161,1161
Clarke University,Dubuque,IA,52001-3198,42.509475,-90.690487,1118,1118
Coe College,Cedar Rapids,IA,52402-5092,41.988263,-91.658192,1213,1213
Cornell College,Mount Vernon,IA,52314-1098,41.924554,-91.423741,1245,1245
Dordt College,Sioux Center,IA,51250-1697,43.082527,-96.166562,1210,1210
Drake University,Des Moines,IA,50311-4505,41.60129,-93.652163,1285,1285
University of Dubuque,Dubuque,IA,52001,42.49726,-90.693428,992,992
Emmaus Bible College,Dubuque,IA,52001-3096,42.508307,-90.706011,1133,1133
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,50023-2152,41.737082,-93.624422,1118,1118
Graceland University-Lamoni,Lamoni,IA,50140,40.615966,-93.924893,1029,1029
Grand View University,Des Moines,IA,50316,41.620813,-93.604352,1043,1043
Grinnell College,Grinnell,IA,50112-1690,41.747952,-92.722094,1449,1449
Iowa State University,Ames,IA,50011-2103,42.026212,-93.648504,1221,1221
Iowa Wesleyan University,Mount Pleasant,IA,52641,40.973791,-91.552459,995,995
University of Iowa,Iowa City,IA,52242-1316,41.661935,-91.536425,1232,1232
Loras College,Dubuque,IA,52004-0178,42.503908,-90.679023,1144,1144
Luther College,Decorah,IA,52101-1045,43.312304,-91.802809,1222,1222
Mercy College of Health Sciences,Des Moines,IA,50309-1239,41.594559,-93.626238,1030,1030
Morningside College,Sioux City,IA,51106-1751,42.473891,-96.359464,1125,1125
Mount Mercy University,Cedar Rapids,IA,52402-4797,42.001931,-91.650991,1085,1085
University of Northern Iowa,Cedar Falls,IA,50614-0005,42.514923,-92.459703,1166,1166
Northwestern College,Orange City,IA,51041,42.999007,-96.058772,1172,1172
Saint Ambrose University,Davenport,IA,52803-2898,41.54065,-90.579854,1165,1165
Simpson College,Indianola,IA,50125,41.365503,-93.563471,1178,1178
Upper Iowa University,Fayette,IA,52142-1857,42.838283,-91.799543,1041,1041
Waldorf University,Forest City,IA,50436-1713,43.262923,-93.641714,1027,1027
Wartburg College,Waverly,IA,50677-0903,42.7277,-92.483387,1170,1170
