University,CITY,State,ZIP,LATITUDE,LONGITUDE,SAT_AVG_ALL,Total_EMP,Median_income,AVG_income
Watkins College of Art Design & Film,Nashville,TN,37228,36.194659,-86.805888,1104,968600,37680,48370
Whitman College,Walla Walla,WA,99362,46.069815,-118.331546,1329,25350,39220,48380
Oregon State University-Cascades Campus,Bend,OR,97702,44.042795,-121.333703,1196,83160,37280,48390
Regent University,Virginia Beach,VA,23464,36.801173,-76.194627,1081,754600,38130,48450
Virginia Wesleyan University,Virginia Beach,VA,23455,36.868417,-76.18606,1063,754600,38130,48450
Alvernia University,Reading,PA,19607-1799,40.310028,-75.936754,1052,176700,38010,48480
Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,40.357987,-75.972141,1189,176700,38010,48480
Reading Hospital School of Health Sciences,Reading,PA,19611,40.32606,-75.950474,989,176700,38010,48480
Clarkson College,Omaha,NE,68131-2739,41.259165,-95.974847,1125,490060,38410,48690
Creighton University,Omaha,NE,68178,41.265361,-95.947811,1283,490060,38410,48690
Grace University,Omaha,NE,68108-3629,41.246894,-95.927709,1010,490060,38410,48690
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,41.265973,-96.048511,1145,490060,38410,48690
University of Nebraska at Omaha,Omaha,NE,68182-0225,41.258769,-96.008516,1125,490060,38410,48690
Corban University,Salem,OR,97317-9392,44.882399,-122.961129,1145,170130,38030,48790
University of Akron Main Campus,Akron,OH,44325-4702,41.078551,-81.511679,1125,327510,37510,48910
University of the Pacific,Stockton,CA,95211-0197,37.981424,-121.312301,1220,246770,37330,48980
Western Washington University,Bellingham,WA,98225-9008,48.737812,-122.485734,1190,88580,39630,49050
California Baptist University,Riverside,CA,92504-3297,33.929321,-117.425619,1092,1493230,36610,49100
University of California-Riverside,Riverside,CA,92521,33.97246,-117.32741,1215,1493230,36610,49100
La Sierra University,Riverside,CA,92505-8247,33.910704,-117.500054,994,1493230,36610,49100
Simpson University,Redding,CA,96003-8606,40.61334,-122.332981,1077,66080,36700,49130
Lamar University,Beaumont,TX,77705,30.042738,-94.072244,1045,159560,38180,49150
Gonzaga University,Spokane,WA,99258-0001,47.666531,-117.400625,1295,235940,38840,49200
Whitworth University,Spokane,WA,99251,47.753358,-117.416714,1217,235940,38840,49200
Whitworth University-Adult Degree Programs,Spokane,WA,99251,47.751642,-117.411568,1217,235940,38840,49200
Washington State University-Spokane,Spokane,WA,992029600,,,1127,235940,38840,49200
North Dakota State University-Main Campus,Fargo,ND,58108-6050,46.893127,-96.800838,1166,138000,39560,49260
Butler University,Indianapolis,IN,46208,39.8374,-86.172167,1279,1040670,37750,49380
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,39.772948,-86.172217,1104,1040670,37750,49380
University of Indianapolis,Indianapolis,IN,46227-3697,39.709571,-86.133969,1093,1040670,37750,49380
Marian University,Indianapolis,IN,46222-1997,39.813233,-86.202643,1102,1040670,37750,49380
Purdue University - Purdue Polytechnic Indianapolis,Indianapolis,IN,46241,,,1293,1040670,37750,49380
Coe College,Cedar Rapids,IA,52402-5092,41.988263,-91.658192,1213,141170,39590,49390
Mount Mercy University,Cedar Rapids,IA,52402-4797,42.001931,-91.650991,1085,141170,39590,49390
Canisius College,Buffalo,NY,14208-1098,42.925206,-78.852577,1172,551090,38010,49420
D'Youville College,Buffalo,NY,14201-1084,42.902636,-78.890868,938,551090,38010,49420
Medaille College,Buffalo,NY,14214-2695,42.92856,-78.855941,978,551090,38010,49420
University at Buffalo,Buffalo,NY,14260-1660,43.000942,-78.789458,1197,551090,38010,49420
SUNY Buffalo State,Buffalo,NY,14222,42.933832,-78.882125,975,551090,38010,49420
Iowa State University,Ames,IA,50011-2103,42.026212,-93.648504,1221,43710,40530,49660
Art Academy of Cincinnati,Cincinnati,OH,45202-1706,39.108805,-84.513913,990,1071650,38370,50030
The Christ College of Nursing and Health Sciences,Cincinnati,OH,45219-2989,39.121821,-84.509564,1105,1071650,38370,50030
Cincinnati Christian University,Cincinnati,OH,45204-3200,39.114169,-84.55408,960,1071650,38370,50030
University of Cincinnati-Main Campus,Cincinnati,OH,45221-0063,39.131159,-84.51428,1230,1071650,38370,50030
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,45220-2489,39.140348,-84.521196,1065,1071650,38370,50030
Mount Saint Joseph University,Cincinnati,OH,45233-1670,39.095893,-84.639453,1097,1071650,38370,50030
Xavier University,Cincinnati,OH,45207-1092,39.149547,-84.47465,1195,1071650,38370,50030
Carlow University,Pittsburgh,PA,15213-3165,40.439293,-79.963448,1005,1145060,38980,50070
Carnegie Mellon University,Pittsburgh,PA,15213-3890,40.44357,-79.941993,1506,1145060,38980,50070
Duquesne University,Pittsburgh,PA,15282,40.43589,-79.993123,1221,1145060,38980,50070
La Roche University,Pittsburgh,PA,15237-5898,40.568615,-80.014851,1045,1145060,38980,50070
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,40.444388,-79.953254,1279,1145060,38980,50070
Point Park University,Pittsburgh,PA,15222-1984,40.438768,-80.002061,1091,1145060,38980,50070
University of Dayton,Dayton,OH,45469,39.739547,-84.176113,1254,377930,38020,50100
Wright State University-Main Campus,Dayton,OH,45435-0001,39.780634,-84.064881,1101,377930,38020,50100
Avila University,Kansas City,MO,64145-1698,38.91339,-94.591758,1060,1061410,39280,50200
Calvary University,Kansas City,MO,64147-1341,38.839578,-94.547927,1041,1061410,39280,50200
Kansas City Art Institute,Kansas City,MO,64111-1874,39.046353,-94.583594,1158,1061410,39280,50200
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,39.185691,-94.573185,1125,1061410,39280,50200
University of Missouri-Kansas City,Kansas City,MO,64110,39.034179,-94.582141,1197,1061410,39280,50200
Rockhurst University,Kansas City,MO,64110-2561,39.032318,-94.573003,1198,1061410,39280,50200
University of Mary,Bismarck,ND,58504,46.723767,-100.75274,1160,69720,41410,50390
Case Western Reserve University,Cleveland,OH,44106,41.507419,-81.609596,1441,1035770,38980,50470
Cleveland Institute of Art,Cleveland,OH,44106-1710,41.510435,-81.602416,1144,1035770,38980,50470
Cleveland State University,Cleveland,OH,44115-2214,41.502281,-81.674355,1104,1035770,38980,50470
Notre Dame College,Cleveland,OH,44121-4293,41.506894,-81.516617,994,1035770,38980,50470
Ottawa University-Phoenix,Phoenix,AZ,85021,33.572173,-112.113001,1027,2054550,37980,50520
Arizona Christian University,Phoenix,AZ,85032-7097,33.595117,-112.026211,956,2054550,37980,50520
Arizona State University-Downtown Phoenix,Phoenix,AZ,85004,33.452914,-112.07347,1219,2054550,37980,50520
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,35.299513,-120.657311,1317,117450,37390,50550
University of Illinois at Springfield,Springfield,IL,62703-5407,39.729524,-89.616796,1159,103540,39010,50560
University of Illinois at Urbana-Champaign,Champaign,IL,61820-5711,40.104718,-88.229114,1376,99990,39190,50630
University of Iowa,Iowa City,IA,52242-1316,41.661935,-91.536425,1232,92440,39870,50780
Roberts Wesleyan College,Rochester,NY,14624,43.125755,-77.798498,1144,514570,39230,50830
Rochester Institute of Technology,Rochester,NY,14623-5603,43.084188,-77.67386,1315,514570,39230,50830
University of Rochester,Rochester,NY,14627-0011,43.126397,-77.631202,1410,514570,39230,50830
Saint John Fisher College,Rochester,NY,14618-3597,43.116259,-77.513056,1158,514570,39230,50830
University of Utah,Salt Lake City,UT,84112-9008,40.762484,-111.846044,1234,713060,38700,50920
Westminster College,Salt Lake City,UT,84105,40.730779,-111.855757,1187,713060,38700,50920
Johnson C Smith University,Charlotte,NC,28216-5398,35.243033,-80.857251,868,1214980,38050,51000
University of North Carolina at Charlotte,Charlotte,NC,28223-0001,35.306022,-80.730919,1187,1214980,38050,51000
Queens University of Charlotte,Charlotte,NC,28274-0001,35.189051,-80.833509,1132,1214980,38050,51000
Cardinal Stritch University,Milwaukee,WI,53217-3985,43.139752,-87.909045,1044,848510,39320,51040
Marquette University,Milwaukee,WI,53233,43.03903,-87.927961,1262,848510,39320,51040
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,43.045364,-87.907691,1305,848510,39320,51040
Mount Mary University,Milwaukee,WI,53222-4597,43.072507,-88.030732,990,848510,39320,51040
Wisconsin Lutheran College,Milwaukee,WI,53226-4699,43.036943,-88.022718,1145,848510,39320,51040
University of Wisconsin-Milwaukee,Milwaukee,WI,53211,43.076848,-87.880488,1125,848510,39320,51040
University of Wisconsin-Milwaukee Flex,Milwaukee,WI,53201,43.076848,-87.880488,1125,848510,39320,51040
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,40.574805,-105.080732,1212,160420,39240,51050
University of Southern Maine,Portland,ME,4103,43.662863,-70.274247,1059,208520,39670,51260
Capital University,Columbus,OH,43209-2394,39.954875,-82.937867,1195,1051570,39300,51260
Mount Carmel College of Nursing,Columbus,OH,43222-1504,39.956625,-83.021501,1065,1051570,39300,51260
Ohio Dominican University,Columbus,OH,43219,39.992764,-82.940689,1086,1051570,39300,51260
Ohio State University-Main Campus,Columbus,OH,43210,39.999324,-83.014853,1359,1051570,39300,51260
Virginia Commonwealth University,Richmond,VA,23284-2512,37.54962,-77.452697,1168,645380,39580,51330
Virginia Union University,Richmond,VA,23220,37.562405,-77.450903,922,645380,39580,51330
Le Moyne College,Syracuse,NY,13214-1301,43.049192,-76.090435,1171,303830,39730,51400
SUNY College of Environmental Science and Forestry,Syracuse,NY,13210,43.034765,-76.138724,1235,303830,39730,51400
Syracuse University,Syracuse,NY,13244,43.040176,-76.136975,1277,303830,39730,51400
University of Colorado Colorado Springs,Colorado Springs,CO,80918,38.892735,-104.800296,1162,280940,38720,51430
Bradley University,Peoria,IL,61625-0001,40.696896,-89.616786,1212,170850,38410,51510
Methodist College,Peoria,IL,61615,40.7804,-89.682864,1005,170850,38410,51510
University of Connecticut-Waterbury Campus,Waterbury,CT,6702,41.555617,-73.039242,1249,68110,39920,51640
Drake University,Des Moines,IA,50311-4505,41.60129,-93.652163,1285,368870,40950,52220
Grand View University,Des Moines,IA,50316,41.620813,-93.604352,1043,368870,40950,52220
Mercy College of Health Sciences,Des Moines,IA,50309-1239,41.594559,-93.626238,1030,368870,40950,52220
American International College,Springfield,MA,1109,42.112346,-72.558338,997,331340,40780,52540
Springfield College,Springfield,MA,01109-3797,42.101576,-72.556751,1148,331340,40780,52540
Western New England University,Springfield,MA,01119-2684,42.115017,-72.520466,1096,331340,40780,52540
Springfield College-School of Professional and Continuing Studies,Springfield,MA,1109,42.1022,-72.556647,1148,331340,40780,52540
Meredith College,Raleigh,NC,27607-5298,35.799351,-78.689995,1111,629570,39460,52580
North Carolina State University at Raleigh,Raleigh,NC,27695-7001,35.785111,-78.674517,1331,629570,39460,52580
William Peace University,Raleigh,NC,27604-1194,35.789139,-78.637697,1033,629570,39460,52580
Saint Augustine's University,Raleigh,NC,27610-2298,35.785468,-78.621301,834,629570,39460,52580
Dallas Baptist University,Dallas,TX,75211-9299,32.710017,-96.947006,1122,3568180,39230,52590
Dallas Christian College,Dallas,TX,75234-7299,32.913692,-96.887117,1026,3568180,39230,52590
Paul Quinn College,Dallas,TX,75241,32.678837,-96.755778,843,3568180,39230,52590
Southern Methodist University,Dallas,TX,75275-0221,32.843612,-96.783365,1382,3568180,39230,52590
University of North Texas at Dallas,Dallas,TX,75241,32.659588,-96.803446,978,3568180,39230,52590
Clark Atlanta University,Atlanta,GA,30314-4391,33.747628,-84.412584,1000,2682910,39080,52750
Emory University,Atlanta,GA,30322,33.790183,-84.325512,1437,2682910,39080,52750
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,33.77242,-84.394832,1389,2682910,39080,52750
Georgia State University,Atlanta,GA,30303-3083,33.7527,-84.38667,1128,2682910,39080,52750
Morehouse College,Atlanta,GA,30314,33.745982,-84.414917,1050,2682910,39080,52750
Oglethorpe University,Atlanta,GA,30319-2797,33.875441,-84.333687,1212,2682910,39080,52750
Spelman College,Atlanta,GA,30314-4399,33.745279,-84.411527,1163,2682910,39080,52750
Georgia State University-Perimeter College,Atlanta,GA,30303-3083,33.753426,-84.385712,1128,2682910,39080,52750
Edgewood College,Madison,WI,53711-1997,43.057059,-89.422884,1145,392260,42770,52890
University of Wisconsin Colleges,Madison,WI,53708,43.068214,-89.39859,1025,392260,42770,52890
University of Wisconsin-Madison,Madison,WI,53706-1380,43.075409,-89.404098,1361,392260,42770,52890
University of Wisconsin Colleges Flex,Madison,WI,53708,43.068214,-89.39859,1025,392260,42770,52890
Oregon State University,Corvallis,OR,97331,44.56395,-123.274723,1196,36800,40020,53110
Illinois Wesleyan University,Bloomington,IL,61702-2900,40.489901,-88.992014,1273,89000,40620,53340
Northwood University,Midland,MI,48640-2398,43.628717,-84.27682,1095,34780,38010,53420
University of New Hampshire at Manchester,Manchester,NH,03101-1113,42.987209,-71.468755,1176,114140,41510,53660
Saint Anselm College,Manchester,NH,03102-1310,42.986889,-71.503622,1227,114140,41510,53660
Champlain College,Burlington,VT,5401,44.473287,-73.202746,1210,122920,42670,53680
University of Vermont,Burlington,VT,05405-0160,44.477325,-73.196646,1280,122920,42670,53680
College for Creative Studies,Detroit,MI,48202,42.361839,-83.062352,1149,1971940,40600,53690
University of Detroit Mercy,Detroit,MI,48221-3038,42.414222,-83.139158,1163,1971940,40600,53690
Marygrove College,Detroit,MI,48221-2599,42.414415,-83.154109,1021,1971940,40600,53690
Wayne State University,Detroit,MI,48202,42.358994,-83.068998,1134,1971940,40600,53690
Brown University,Providence,RI,2912,41.82617,-71.40385,1494,577900,40860,53730
Providence College,Providence,RI,02918-0001,41.842742,-71.437446,1274,577900,40860,53730
Rhode Island College,Providence,RI,2908,41.842415,-71.46556,984,577900,40860,53730
Rhode Island School of Design,Providence,RI,02903-2784,41.825935,-71.407692,1276,577900,40860,53730
Concordia University Texas,Austin,TX,78726,30.420232,-97.835703,1063,1028500,40070,53810
Huston-Tillotson University,Austin,TX,78702-2795,30.264667,-97.721691,947,1028500,40070,53810
Saint Edward's University,Austin,TX,78704-6489,30.229618,-97.754998,1186,1028500,40070,53810
The University of Texas at Austin,Austin,TX,78712,30.282825,-97.738273,1359,1028500,40070,53810
The Evergreen State College,Olympia,WA,98505-0001,47.07382,-122.977492,1095,112820,44370,54050
Becker College,Worcester,MA,01609-2165,42.269171,-71.811894,1078,284590,42660,54240
Houston Baptist University,Houston,TX,77074-3298,29.693819,-95.515954,1114,2982420,39630,54290
University of Houston-Clear Lake,Houston,TX,77058-1002,29.582523,-95.098129,1119,2982420,39630,54290
University of Houston-Downtown,Houston,TX,77002-1014,29.7661,-95.359338,997,2982420,39630,54290
University of Houston,Houston,TX,77204-2018,29.720393,-95.343537,1202,2982420,39630,54290
Rice University,Houston,TX,77005-1827,29.717897,-95.402035,1535,2982420,39630,54290
University of St Thomas,Houston,TX,77006-4696,29.736438,-95.393102,1160,2982420,39630,54290
Texas Southern University,Houston,TX,77004,29.721046,-95.361113,846,2982420,39630,54290
University of Virginia-Main Campus,Charlottesville,VA,22903-2628,38.035665,-78.503428,1415,113010,41170,54350
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,42.650371,-73.779063,1200,451810,43340,54400
SUNY at Albany,Albany,NY,12222,42.685489,-73.824662,1173,451810,43340,54400
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,36.995584,-122.058801,1287,97890,40270,54520
University of Alabama in Huntsville,Huntsville,AL,35899,34.724557,-86.640449,1322,226330,39820,54630
Oakwood University,Huntsville,AL,35896,34.756344,-86.652705,1005,226330,39820,54630
Concordia University-Ann Arbor,Ann Arbor,MI,48105,42.273157,-83.68268,1130,218510,41390,55130
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,42.275921,-83.742769,1436,218510,41390,55130
School of the Art Institute of Chicago,Chicago,IL,60603,41.88105,-87.625758,1242,4641830,41210,55670
Chicago State University,Chicago,IL,60628-1598,41.718446,-87.609384,952,4641830,41210,55670
University of Chicago,Chicago,IL,60637,41.787994,-87.599539,1524,4641830,41210,55670
East-West University,Chicago,IL,60605,41.871309,-87.624793,910,4641830,41210,55670
University of Illinois at Chicago,Chicago,IL,60607,41.871837,-87.650503,1150,4641830,41210,55670
Illinois Institute of Technology,Chicago,IL,60616,41.8313,-87.627321,1323,4641830,41210,55670
Loyola University Chicago,Chicago,IL,60660,42.000765,-87.656872,1258,4641830,41210,55670
North Park University,Chicago,IL,60625-4895,41.975268,-87.709948,1086,4641830,41210,55670
Northeastern Illinois University,Chicago,IL,60625-4699,41.980399,-87.718983,910,4641830,41210,55670
Roosevelt University,Chicago,IL,60605-1394,41.876055,-87.624952,1119,4641830,41210,55670
Saint Xavier University,Chicago,IL,60655,41.707199,-87.714749,1066,4641830,41210,55670
VanderCook College of Music,Chicago,IL,60616-3731,41.836833,-87.629138,1215,4641830,41210,55670
University of Notre Dame -,Chicago,IL,606042535,,,1486,4641830,41210,55670
Concordia University-Portland,Portland,OR,97211-6099,45.570197,-122.636941,1048,1190180,43420,56160
Lewis & Clark College,Portland,OR,97219-7899,45.450882,-122.669137,1330,1190180,43420,56160
Portland State University,Portland,OR,97201,45.511601,-122.686289,1105,1190180,43420,56160
University of Portland,Portland,OR,97203-5798,45.572724,-122.726691,1239,1190180,43420,56160
Reed College,Portland,OR,97202-8199,45.480959,-122.630348,1427,1190180,43420,56160
Linfield College-School of Nursing,Portland,OR,97210-2932,45.531476,-122.697773,1126,1190180,43420,56160
Chestnut Hill College,Philadelphia,PA,19118-2693,40.08678,-75.228742,1060,2848650,42580,56170
Drexel University,Philadelphia,PA,19104,39.955217,-75.190051,1269,2848650,42580,56170
Holy Family University,Philadelphia,PA,19114-2009,40.060581,-74.986451,1005,2848650,42580,56170
Moore College of Art and Design,Philadelphia,PA,19103-1179,39.957078,-75.172105,1140,2848650,42580,56170
University of Pennsylvania,Philadelphia,PA,19104-6303,39.950929,-75.19391,1506,2848650,42580,56170
Jefferson (Philadelphia University + Thomas Jefferson University),Philadelphia,PA,19144-5497,40.022882,-75.192645,1136,2848650,42580,56170
University of the Sciences,Philadelphia,PA,19104-4495,39.946412,-75.207001,1227,2848650,42580,56170
Saint Joseph's University,Philadelphia,PA,19131-1395,39.994442,-75.238343,1209,2848650,42580,56170
California State University-Sacramento,Sacramento,CA,95819-2694,38.559415,-121.423549,1036,984620,42950,56430
Augsburg University,Minneapolis,MN,55454,44.966307,-93.240436,1085,1956300,45520,57420
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,44.972851,-93.235464,1344,1956300,45520,57420
Minneapolis College of Art and Design,Minneapolis,MN,55404,44.956988,-93.274705,1141,1956300,45520,57420
North Central University,Minneapolis,MN,55404-1391,44.968625,-93.261511,1118,1956300,45520,57420
University of Alaska Fairbanks,Fairbanks,AK,99775,64.85756,-147.823146,1094,35410,49750,57570
University of Baltimore,Baltimore,MD,21201-5720,39.305834,-76.616591,999,1370990,44520,57740
Coppin State University,Baltimore,MD,21216-3698,39.311258,-76.658687,930,1370990,44520,57740
Johns Hopkins University,Baltimore,MD,21218-2688,39.328977,-76.621595,1524,1370990,44520,57740
University of Maryland-Baltimore County,Baltimore,MD,21250,39.256686,-76.711607,1255,1370990,44520,57740
Maryland Institute College of Art,Baltimore,MD,21217-4134,39.308792,-76.621033,1203,1370990,44520,57740
Morgan State University,Baltimore,MD,21251-0001,39.344161,-76.585565,977,1370990,44520,57740
Notre Dame of Maryland University,Baltimore,MD,21210-2476,39.350612,-76.619739,993,1370990,44520,57740
University of Minnesota-Rochester,Rochester,MN,55904,44.022339,-92.463471,1344,116600,42240,57840
California State University-Los Angeles,Los Angeles,CA,90032-8506,34.066927,-118.168965,968,6118830,40970,57890
University of California-Los Angeles,Los Angeles,CA,90095-1405,34.068892,-118.443901,1387,6118830,40970,57890
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,33.925658,-118.242791,1142,6118830,40970,57890
Loyola Marymount University,Los Angeles,CA,90045-2659,33.97085,-118.415744,1307,6118830,40970,57890
Mount Saint Mary's University,Los Angeles,CA,90049-1599,34.085315,-118.482879,1013,6118830,40970,57890
Occidental College,Los Angeles,CA,90041-3392,34.127124,-118.210908,1370,6118830,40970,57890
University of Southern California,Los Angeles,CA,90089,34.021281,-118.284169,1437,6118830,40970,57890
Mount Saint Mary's University - Doheny Campus,Los Angeles,CA,90007,,,1013,6118830,40970,57890
Albertus Magnus College,New Haven,CT,06511-1189,41.332519,-72.923848,930,284270,44640,57920
Southern Connecticut State University,New Haven,CT,06515-1355,41.333225,-72.947897,1028,284270,44640,57920
Yale University,New Haven,CT,6520,41.311158,-72.926688,1520,284270,44640,57920
Point Loma Nazarene University,San Diego,CA,92106-2899,32.718391,-117.250265,1211,1463420,43390,58090
San Diego State University,San Diego,CA,92182-0001,32.77525,-117.071228,1206,1463420,43390,58090
University of San Diego,San Diego,CA,92110-2492,32.770816,-117.192073,1302,1463420,43390,58090
Bethel Seminary-San Diego,San Diego,CA,92115,32.765387,-117.06605,1181,1463420,43390,58090
Cornell University,Ithaca,NY,14853,42.4472,-76.483084,1477,49710,44350,58180
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,39.745149,-104.837722,1179,1478110,45420,59440
University of Denver,Denver,CO,80208,39.678005,-104.963259,1294,1478110,45420,59440
Metropolitan State University of Denver,Denver,CO,80217-3362,39.744202,-105.00504,1010,1478110,45420,59440
Regis University,Denver,CO,80221-1099,39.788175,-105.030756,1150,1478110,45420,59440
Duke University,Durham,NC,27708,36.001135,-78.937624,1488,308480,45640,59940
North Carolina Central University,Durham,NC,27707,35.974237,-78.898602,967,308480,45640,59940
Rensselaer at Hartford,Hartford,CT,6120,41.773462,-72.673916,1405,584860,48820,60820
Trinity College,Hartford,CT,06106-3100,41.747451,-72.690882,1370,584860,48820,60820
University of Connecticut-Hartford Campus,Hartford,CT,6103,41.762673,-72.672175,1249,584860,48820,60820
Barnard College,New York,NY,10027-6598,40.810098,-73.963346,1430,9498420,47080,64550
Columbia University in the City of New York,New York,NY,10027,40.808286,-73.961885,1488,9498420,47080,64550
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,40.728148,-73.991609,1424,9498420,47080,64550
Weill Cornell Medical College,New York,NY,10065,40.764738,-73.954839,1477,9498420,47080,64550
CUNY Bernard M Baruch College,New York,NY,10010,40.740238,-73.983417,1270,9498420,47080,64550
CUNY City College,New York,NY,10031,40.819846,-73.948542,1140,9498420,47080,64550
CUNY Hunter College,New York,NY,10065,40.768669,-73.964795,1205,9498420,47080,64550
CUNY John Jay College of Criminal Justice,New York,NY,10019,40.770351,-73.98841,1055,9498420,47080,64550
Jewish Theological Seminary of America,New York,NY,10027-4649,40.811892,-73.960582,1396,9498420,47080,64550
LIM College,New York,NY,10022-5268,40.759865,-73.975054,1032,9498420,47080,64550
Marymount Manhattan College,New York,NY,10021-4597,40.768787,-73.959767,1149,9498420,47080,64550
The New School,New York,NY,10011-8871,40.735508,-73.997114,1223,9498420,47080,64550
New York University,New York,NY,10012-1091,40.729452,-73.997264,1408,9498420,47080,64550
New York School of Interior Design,New York,NY,10021,40.768615,-73.962404,1058,9498420,47080,64550
Pace University,New York,NY,10038-1598,40.711014,-74.004719,1144,9498420,47080,64550
School of Visual Arts,New York,NY,10010,40.738809,-73.982359,1139,9498420,47080,64550
Yeshiva University,New York,NY,10033-3299,40.850605,-73.929873,1272,9498420,47080,64550
The King's College,New York,NY,10004,40.706677,-74.012342,1246,9498420,47080,64550
Pratt Manhattan-A Division of Pratt Institute,New York,NY,10011,,,1201,9498420,47080,64550
University of Colorado Boulder,Boulder,CO,80309-0017,40.008781,-105.270823,1293,182160,49090,64690
Seattle Pacific University,Seattle,WA,98119-1997,47.650214,-122.361667,1173,1984320,50860,65400
Seattle University,Seattle,WA,98122-4340,47.608859,-122.318851,1250,1984320,50860,65400
University of Washington-Seattle Campus,Seattle,WA,98195-4550,47.65538,-122.30514,1295,1984320,50860,65400
Boston Baptist College,Boston,MA,02136-4030,42.254037,-71.1103,970,2758780,51510,67370
Boston University,Boston,MA,2215,42.351118,-71.107942,1401,2758780,51510,67370
Emerson College,Boston,MA,02116-4624,42.352202,-71.065384,1299,2758780,51510,67370
Emmanuel College,Boston,MA,2115,42.340602,-71.103634,1183,2758780,51510,67370
University of Massachusetts-Boston,Boston,MA,02125-3393,42.312881,-71.036865,1134,2758780,51510,67370
MCPHS University,Boston,MA,02115-5896,42.336825,-71.101244,1169,2758780,51510,67370
Northeastern University,Boston,MA,02115-5005,42.339992,-71.088782,1482,2758780,51510,67370
Simmons University,Boston,MA,02115-5898,42.3393,-71.099967,1227,2758780,51510,67370
Suffolk University,Boston,MA,02108-3901,42.357945,-71.060917,1102,2758780,51510,67370
Wentworth Institute of Technology,Boston,MA,2115,42.336632,-71.094983,1181,2758780,51510,67370
Wheelock College,Boston,MA,2215,42.349707,-71.100868,879,2758780,51510,67370
Northeastern University Lifelong Learning Network,Boston,MA,2115,42.339477,-71.087841,1482,2758780,51510,67370
University of Bridgeport,Bridgeport,CT,06604-5620,41.164741,-73.190166,969,416050,50450,68590
St Vincent's College,Bridgeport,CT,06606-4201,41.201198,-73.201106,960,416050,50450,68590
American University,Washington,DC,20016-8001,38.936005,-77.088875,1294,3135160,54680,70980
Gallaudet University,Washington,DC,20002-3695,38.907371,-76.993675,916,3135160,54680,70980
George Washington University,Washington,DC,20052,38.89923,-77.048363,1386,3135160,54680,70980
Georgetown University,Washington,DC,20057-0001,38.908809,-77.073463,1451,3135160,54680,70980
Howard University,Washington,DC,20059-0001,38.922392,-77.018966,1201,3135160,54680,70980
San Francisco State University,San Francisco,CA,94132,37.721224,-122.476799,1054,2419090,54090,72400
University of San Francisco,San Francisco,CA,94117-1080,37.776618,-122.450477,1203,2419090,54090,72400
San Jose State University,San Jose,CA,95192-0001,37.336569,-121.880621,1110,1119210,60110,80480
